way_id,name,operator,gauge,electrified,maxspeed,usage,service,highspeed,line,ref
115610382,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,50,main,,,,R1;R3;R4;RG1
115610386,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,70,main,,,,R1;R3;R4;RG1
120068568,Línia Castellbisbal/El Papiol - Mollet,Adif,1435;1668,contact_line,100,main,,,,R8
120953221,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
120953223,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
120953306,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
120953307,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2Nord;R11
123265313,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,120,main,,,,R1;R4
123265314,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,120,main,,,,R1;R4
123274071,FFCC Ramal Glòries,Adif,1668,contact_line,40,branch,,,,R2Sud;R13;R14;R15;R16
123274072,FFCC Ramal Glòries,Adif,1668,contact_line,40,branch,,,,R2Sud;R13;R14;R15;R16
128115717,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
128329362,Ramal de les Aigües,Adif,1668,contact_line,60,branch,,,,
128329363,Ramal de les Aigües,Adif,1668,contact_line,60,branch,,,,
136441004,Línia Castellbisbal/El Papiol - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
140897674,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,120,main,,,,R1;RG1
140897685,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,90,main,,,,R1;RG1
140897689,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,140,main,,,,R1;RG1
141258025,Línia Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,100,main,,,,R1;R4
141258027,Línia Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,100,main,,,,R1;R4
142321089,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,160,main,,,,R2;R2Sud;R13;R14;R15;R16
142432380,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
142432382,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
151872551,FFCC Figueres-Vilafant - Vilamalla,Adif,1435;1668,contact_line,,main,,,,260
151872553,FFCC Figueres-Vilafant - Vilamalla,Adif,1435;1668,contact_line,,main,,,,260
151872556,FFCC Figueres-Vilafant - Vilamalla,Adif,1435;1668,contact_line,,main,,,,260
151872561,FFCC Figueres-Vilafant - Vilamalla,Adif,1435;1668,contact_line,,main,,,,260
152548428,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2;R2Nord;R8;R11
152548436,FFCC Cerbère - Barcelona,Adif,1668,contact_line,160,main,,,,R2;R2Nord;R8;R11
160931372,FFCC Cerbère - Barcelona,Adif,1668,contact_line,125,main,,,,270
160931373,FFCC Cerbère - Barcelona,Adif,1668,contact_line,125,main,,,,270
162592107,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,270
162592111,FFCC Cerbère - Barcelona,Adif,1668,contact_line,100,main,,,,270
